li,si,lo,so,ao,po
0.00,35.00,78.11,67.64,12,3.34
0.00,65.00,78.11,99.24,9,3.32
0.00,95.00,78.11,130.84,7,3.30
0.00,125.00,78.11,162.44,4,3.28
0.00,155.00,78.11,194.04,1,3.28
0.00,185.00,78.11,225.64,-1,3.28
0.00,215.00,78.11,257.23,-4,3.29
0.00,245.00,78.11,288.83,-7,3.30
0.00,275.00,78.11,320.43,-9,3.32
0.00,305.00,78.11,352.03,-12,3.35
22.78,35.00,100.73,67.64,12,3.28
22.78,65.00,100.73,99.24,10,3.26
22.78,95.00,100.73,130.84,7,3.23
22.78,125.00,100.73,162.44,4,3.22
22.78,155.00,100.73,194.04,1,3.21
22.78,185.00,100.73,225.64,-2,3.21
22.78,215.00,100.73,257.23,-4,3.22
22.78,245.00,100.73,288.83,-7,3.24
22.78,275.00,100.73,320.43,-10,3.26
22.78,305.00,100.73,352.03,-12,3.29
45.56,35.00,123.34,67.64,13,3.22
45.56,65.00,123.34,99.24,10,3.20
45.56,95.00,123.34,130.84,7,3.17
45.56,125.00,123.34,162.44,4,3.16
45.56,155.00,123.34,194.04,1,3.15
45.56,185.00,123.34,225.64,-2,3.15
45.56,215.00,123.34,257.23,-5,3.16
45.56,245.00,123.34,288.83,-8,3.18
45.56,275.00,123.34,320.43,-11,3.20
45.56,305.00,123.34,352.03,-13,3.23
68.33,35.00,145.95,67.64,14,3.17
68.33,65.00,145.95,99.24,11,3.13
68.33,95.00,145.95,130.84,8,3.11
68.33,125.00,145.95,162.44,5,3.09
68.33,155.00,145.95,194.04,1,3.09
68.33,185.00,145.95,225.64,-2,3.09
68.33,215.00,145.95,257.23,-5,3.10
68.33,245.00,145.95,288.83,-8,3.12
68.33,275.00,145.95,320.43,-11,3.14
68.33,305.00,145.95,352.03,-14,3.17
91.11,35.00,168.57,67.64,15,3.11
91.11,65.00,168.57,99.24,12,3.08
91.11,95.00,168.57,130.84,9,3.05
91.11,125.00,168.57,162.44,5,3.03
91.11,155.00,168.57,194.04,2,3.02
91.11,185.00,168.57,225.64,-2,3.02
91.11,215.00,168.57,257.23,-6,3.03
91.11,245.00,168.57,288.83,-9,3.05
91.11,275.00,168.57,320.43,-12,3.08
91.11,305.00,168.57,352.03,-15,3.12
113.89,35.00,191.18,67.64,16,3.05
113.89,65.00,191.18,99.24,13,3.02
113.89,95.00,191.18,130.84,9,2.99
113.89,125.00,191.18,162.44,6,2.97
113.89,155.00,191.18,194.04,2,2.96
113.89,185.00,191.18,225.64,-2,2.96
113.89,215.00,191.18,257.23,-6,2.97
113.89,245.00,191.18,288.83,-10,2.99
113.89,275.00,191.18,320.43,-13,3.02
113.89,305.00,191.18,352.03,-17,3.06
136.67,35.00,213.79,67.64,18,3.00
136.67,65.00,213.79,99.24,14,2.96
136.67,95.00,213.79,130.84,10,2.93
136.67,125.00,213.79,162.44,6,2.91
136.67,155.00,213.79,194.04,2,2.90
136.67,185.00,213.79,225.64,-3,2.90
136.67,215.00,213.79,257.23,-7,2.91
136.67,245.00,213.79,288.83,-11,2.93
136.67,275.00,213.79,320.43,-15,2.97
136.67,305.00,213.79,352.03,-18,3.01
159.44,35.00,236.41,67.64,19,2.94
159.44,65.00,236.41,99.24,15,2.90
159.44,95.00,236.41,130.84,11,2.87
159.44,125.00,236.41,162.44,7,2.84
159.44,155.00,236.41,194.04,2,2.83
159.44,185.00,236.41,225.64,-3,2.83
159.44,215.00,236.41,257.23,-8,2.85
159.44,245.00,236.41,288.83,-12,2.87
159.44,275.00,236.41,320.43,-16,2.91
159.44,305.00,236.41,352.03,-20,2.95
182.22,35.00,259.02,67.64,21,2.89
182.22,65.00,259.02,99.24,17,2.84
182.22,95.00,259.02,130.84,13,2.81
182.22,125.00,259.02,162.44,8,2.78
182.22,155.00,259.02,194.04,2,2.77
182.22,185.00,259.02,225.64,-3,2.77
182.22,215.00,259.02,257.23,-9,2.79
182.22,245.00,259.02,288.83,-13,2.81
182.22,275.00,259.02,320.43,-18,2.85
182.22,305.00,259.02,352.03,-21,2.90
205.00,35.00,281.64,67.64,23,2.84
205.00,65.00,281.64,99.24,19,2.79
205.00,95.00,281.64,130.84,14,2.75
205.00,125.00,281.64,162.44,9,2.72
205.00,155.00,281.64,194.04,3,2.70
205.00,185.00,281.64,225.64,-4,2.71
205.00,215.00,281.64,257.23,-10,2.72
205.00,245.00,281.64,288.83,-15,2.76
205.00,275.00,281.64,320.43,-20,2.80
205.00,305.00,281.64,352.03,-24,2.86
